@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 4\nSize of the tree: 7\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

is_long_parameters_list,2,5,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,79,5,0,94.047619,5.952381,0,0.862385,0.097192,0.21431,21.949394,45.459567,77.143513,19.466333,57.67718,0.918375,0.231742,0.686633,61.366447,0.730553,6719.304107,0.982143,55,0.142857,4,0.857143,24,0.017857,1,0.932203,0.982143,0.956522,0.86534,0.970344,0.972305,0.940476,0.10119,0.89881,0.059524,0.941469,0.940476,0.939568,0.86534,0.970344,0.964484,0.931091,0.940476,0.025,0.001,0.03125,0,31.25,0,48354,221972,89672,98.809524,57.738095,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,3,1,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,78,6,0,92.857143,7.142857,0,0.842105,0.096589,0.226695,21.813252,48.086556,77.143513,21.801141,55.342372,0.918375,0.259537,0.658838,60.924865,0.725296,6670.9532,0.928571,52,0.071429,2,0.928571,26,0.071429,4,0.962963,0.928571,0.945455,0.843274,0.955995,0.957847,0.928571,0.071429,0.928571,0.071429,0.930864,0.928571,0.929154,0.843274,0.955995,0.951263,0.921003,0.928571,0.025,0,0.015625,0,15.625,0,48354,221972,89672,97.619048,55.952381,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,3,2,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,77,7,0,91.666667,8.333333,0,0.803738,0.111765,0.26003,25.240378,55.15767,77.143513,27.639557,49.503956,0.918375,0.329042,0.589333,58.292961,0.693964,6382.773538,0.982143,55,0.214286,6,0.785714,22,0.017857,1,0.901639,0.982143,0.940171,0.811754,0.947066,0.951187,0.916667,0.14881,0.85119,0.083333,0.919933,0.916667,0.914362,0.811754,0.947066,0.939345,0.901458,0.916667,0.028,0,0.03125,0,31.25,0,48354,221972,89672,97.619048,58.333333,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,3,3,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,82,2,0,97.619048,2.380952,0,0.946429,0.076925,0.166169,17.372459,35.247899,77.143513,13.953266,63.190247,0.918375,0.16611,0.752265,65.515124,0.779942,7173.562488,0.982143,55,0.035714,1,0.964286,27,0.017857,1,0.982143,0.982143,0.982143,0.946429,0.978954,0.979539,0.97619,0.029762,0.970238,0.02381,0.97619,0.97619,0.97619,0.946429,0.978954,0.975872,0.973214,0.97619,0.025,0.001,0.03125,0,31.25,0,48354,221972,89672,98.809524,55.952381,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,3,4,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,78,6,0,92.857143,7.142857,0,0.836257,0.097449,0.23515,22.158989,50.339286,76.125089,22.311055,53.814034,0.906251,0.265608,0.640643,59.856854,0.712582,6532.374536,0.947368,54,0.111111,3,0.888889,24,0.052632,3,0.947368,0.947368,0.947368,0.836257,0.971735,0.975928,0.928571,0.092314,0.907686,0.071429,0.928571,0.928571,0.928571,0.836257,0.971735,0.967779,0.918129,0.928571,0.026,0,0.03125,0,31.25,0,48354,221972,89672,98.809524,55.952381,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,3,5,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,75,9,0,89.285714,10.714286,0,0.751969,0.120501,0.289987,27.400776,62.078416,76.125089,35.822995,40.302094,0.906251,0.426464,0.479787,54.972683,0.654437,5999.349022,0.929825,53,0.185185,5,0.814815,22,0.070175,4,0.913793,0.929825,0.921739,0.752254,0.912606,0.924688,0.892857,0.148218,0.851782,0.107143,0.892052,0.892857,0.892312,0.752254,0.912606,0.908962,0.875964,0.892857,0.024,0,0.015625,0,15.625,0,48354,221972,89672,95.238095,55.357143,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,4,1,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,76,8,0,90.47619,9.52381,0,0.781676,0.116904,0.274085,26.582796,58.67416,76.125089,2169.472092,-2093.347003,0.906251,25.827049,-24.920798,56.054652,0.667317,6117.427792,0.929825,53,0.148148,4,0.851852,23,0.070175,4,0.929825,0.929825,0.929825,0.781676,0.88499,0.908753,0.904762,0.123085,0.876915,0.095238,0.904762,0.904762,0.904762,0.781676,0.88499,0.898596,0.890838,0.904762,0.013,0.001,0.015625,0,15.625,0,48354,221972,89672,95.238095,54.761905,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,4,2,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,80,4,0,95.238095,4.761905,0,0.890838,0.096926,0.210814,22.040158,45.129471,76.125089,20.461,55.664089,0.906251,0.243583,0.662668,60.680741,0.72239,6622.288004,0.964912,55,0.074074,2,0.925926,25,0.035088,2,0.964912,0.964912,0.964912,0.890838,0.955166,0.95958,0.952381,0.061543,0.938457,0.047619,0.952381,0.952381,0.952381,0.890838,0.955166,0.950243,0.945419,0.952381,0.016,0.001,0.015625,0,15.625,0,48354,221972,89672,97.619048,57.142857,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,4,3,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,75,9,0,89.285714,10.714286,0,0.761062,0.126959,0.274122,28.671771,58.146815,77.143513,29.122364,48.021149,0.918375,0.346695,0.57168,55.094449,0.655886,6032.553262,0.910714,51,0.142857,4,0.857143,24,0.089286,5,0.927273,0.910714,0.918919,0.76133,0.944515,0.950657,0.892857,0.125,0.875,0.107143,0.894044,0.892857,0.893314,0.76133,0.944515,0.93742,0.880512,0.892857,0.014,0,0.015625,0,15.625,0,48354,221972,89672,97.619048,58.333333,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,4,4,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,79,5,0,94.047619,5.952381,0,0.864865,0.080906,0.218657,18.271369,46.381517,77.143513,21.897509,55.246004,0.918375,0.260685,0.657691,63.597537,0.757114,6963.596861,0.964286,54,0.107143,3,0.892857,25,0.035714,2,0.947368,0.964286,0.955752,0.865181,0.942283,0.945431,0.940476,0.083333,0.916667,0.059524,0.940221,0.940476,0.940198,0.865181,0.942283,0.938048,0.932422,0.940476,0.009,0,0,0,0,0,48354,221972,89672,96.428571,52.97619,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
