@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 7\nSize of the tree: 13\n'}
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

data-class,1,10,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,41,1,0,97.619048,2.380952,0,0.947368,0.032868,0.143308,7.39033,30.400138,38.56853,4.27101,34.29752,0.918298,0.101691,0.816608,35.839981,0.853333,3899.165532,0.964286,27,0,0,1,14,0.035714,1,1,0.964286,0.981818,0.948683,0.996173,0.996544,0.97619,0.011905,0.988095,0.02381,0.977778,0.97619,0.976385,0.948683,0.996173,0.992934,0.973668,0.97619,0.029,0,0.03,0,30,0,41759,246205,59053,100,54.761905,?,3,?,?
data-class,2,1,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,37,5,0,88.095238,11.904762,0,0.736842,0.120996,0.343813,27.206127,72.933631,38.56853,3235.707649,-3197.139119,0.918298,77.040658,-76.12236,27.609787,0.657376,3003.77195,0.892857,25,0.142857,2,0.857143,12,0.107143,3,0.925926,0.892857,0.909091,0.737865,0.86352,0.898743,0.880952,0.130952,0.869048,0.119048,0.883951,0.880952,0.881923,0.737865,0.86352,0.836464,0.868339,0.880952,0.024,0,0.03,0,30,0,41759,246205,59053,88.095238,50,?,3,?,?
data-class,2,2,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,42,0,0,100,0,0,1,0,0,0,0,38.56853,0,38.56853,0.918298,0,0.918298,38.56853,0.918298,4196.014621,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.031,0,0.03,0,30,0,46193,246205,59053,100,50,?,4,?,?
data-class,2,3,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,40,2,0,95.238095,4.761905,0,0.888889,0.053605,0.217518,12.053296,46.142524,38.56853,16.319593,22.248937,0.918298,0.388562,0.529737,33.867477,0.806368,3684.569476,1,28,0.142857,2,0.857143,12,0,0,0.933333,1,0.965517,0.894427,0.928571,0.933333,0.952381,0.095238,0.904762,0.047619,0.955556,0.952381,0.95137,0.894427,0.928571,0.92381,0.944297,0.952381,0.04,0,0.04,0,40,0,41827,246205,59053,95.238095,50,?,3,?,?
data-class,2,4,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,40,2,0,95.238095,4.761905,0,0.888889,0.065816,0.220685,14.798762,46.814177,38.56853,15.119486,23.449044,0.918298,0.359988,0.558311,33.067723,0.787327,3597.561232,1,28,0.142857,2,0.857143,12,0,0,0.933333,1,0.965517,0.894427,0.928571,0.933333,0.952381,0.095238,0.904762,0.047619,0.955556,0.952381,0.95137,0.894427,0.928571,0.92381,0.944297,0.952381,0.04,0,0.03,0.01,30,10,41759,246205,59053,95.238095,53.571429,?,3,?,?
data-class,2,5,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,42,0,0,100,0,0,1,0.008495,0.015358,1.910114,3.257943,38.56853,0.522031,38.046499,0.918298,0.012429,0.905869,38.046499,0.905869,4139.22093,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.039,0.001,0.04,0,40,0,41827,246205,59053,100,50,?,3,?,?
data-class,2,6,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,40,2,0,95.238095,4.761905,0,0.892857,0.05228,0.217855,11.755305,46.214038,38.56853,1082.266367,-1043.697837,0.918298,25.768247,-24.849949,33.949113,0.808312,3693.451002,0.964286,27,0.071429,1,0.928571,13,0.035714,1,0.964286,0.964286,0.964286,0.892857,0.933673,0.953656,0.952381,0.059524,0.940476,0.047619,0.952381,0.952381,0.952381,0.892857,0.933673,0.918367,0.946429,0.952381,0.03,0,0.03,0.01,30,10,41828,246205,59053,95.238095,50,?,3,?,?
data-class,2,7,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,41,1,0,97.619048,2.380952,0,0.945455,0.031056,0.153284,6.982984,32.516342,38.56853,7.435348,31.133182,0.918298,0.177032,0.741266,35.959592,0.856181,3912.178562,1,28,0.071429,1,0.928571,13,0,0,0.965517,1,0.982456,0.946864,0.964286,0.965517,0.97619,0.047619,0.952381,0.02381,0.977011,0.97619,0.975958,0.946864,0.964286,0.961138,0.97271,0.97619,0.027,0,0.03,0,30,0,41760,246205,59053,97.619048,50,?,3,?,?
data-class,2,8,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,42,0,0,100,0,0,1,0.007583,0.018042,1.705061,3.827347,38.56853,0.469893,38.098637,0.918298,0.011188,0.90711,38.098637,0.90711,4144.89324,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.035,0,0.03,0,30,0,41829,246205,59053,100,51.190476,?,3,?,?
data-class,2,9,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,41,1,0,97.619048,2.380952,0,0.947368,0.02381,0.154303,5.353621,32.732627,38.56853,1074,-1035.43147,0.918298,25.571429,-24.65313,36.400497,0.866678,3960.146206,0.964286,27,0,0,1,14,0.035714,1,1,0.964286,0.981818,0.948683,0.982143,0.988095,0.97619,0.011905,0.988095,0.02381,0.977778,0.97619,0.976385,0.948683,0.982143,0.969841,0.973668,0.97619,0.021,0,0.02,0,20,0,41897,246205,59053,97.619048,50,?,3,?,?
data-class,2,10,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,40,2,0,95.238095,4.761905,0,0.896552,0.050113,0.216205,11.268097,45.863834,38.56853,13.607966,24.960563,0.918298,0.323999,0.594299,34.0806,0.811443,3707.755962,0.928571,26,0,0,1,14,0.071429,2,1,0.928571,0.962963,0.901388,0.966837,0.977352,0.952381,0.02381,0.97619,0.047619,0.958333,0.952381,0.953086,0.901388,0.966837,0.946211,0.948148,0.952381,0.035,0,0.02,0,20,0,42117,246205,59053,95.238095,50,?,4,?,?
data-class,3,1,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,42,0,0,100,0,0,1,0.002528,0.00473,0.568526,1.003444,38.56853,0.153888,38.414641,0.918298,0.003664,0.914634,38.414641,0.914634,4179.272517,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.032,0,0.03,0,30,0,41827,246205,59053,100,50,?,3,?,?
data-class,3,2,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,40,2,0,95.238095,4.761905,0,0.896552,0.054945,0.207933,12.354509,44.109089,38.56853,9.58849,28.98004,0.918298,0.228297,0.690001,33.782767,0.804352,3675.353631,0.928571,26,0,0,1,14,0.071429,2,1,0.928571,0.962963,0.901388,0.979592,0.98682,0.952381,0.02381,0.97619,0.047619,0.958333,0.952381,0.953086,0.901388,0.979592,0.966128,0.948148,0.952381,0.029,0,0.03,0,30,0,41760,246205,59053,97.619048,52.380952,?,3,?,?
data-class,3,3,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,41,1,0,97.619048,2.380952,0,0.947368,0.038766,0.133802,8.716556,28.38371,38.56853,3.386668,35.181862,0.918298,0.080635,0.837663,35.368179,0.842099,3847.836433,0.964286,27,0,0,1,14,0.035714,1,1,0.964286,0.981818,0.948683,0.996173,0.996544,0.97619,0.011905,0.988095,0.02381,0.977778,0.97619,0.976385,0.948683,0.996173,0.992934,0.973668,0.97619,0.033,0.001,0.03,0,30,0,41759,246205,59053,100,54.761905,?,3,?,?
data-class,3,4,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,39,3,0,92.857143,7.142857,0,0.847458,0.095875,0.261411,21.557598,55.453465,38.56853,2152.351422,-2113.782892,0.918298,51.246462,-50.328164,30.441425,0.724796,3311.836442,0.892857,25,0,0,1,14,0.107143,3,1,0.892857,0.943396,0.857493,0.941327,0.969494,0.928571,0.035714,0.964286,0.071429,0.941176,0.928571,0.930006,0.857493,0.941327,0.916357,0.923311,0.928571,0.035,0,0.04,0,40,0,41760,246205,59053,95.238095,58.333333,?,3,?,?
data-class,3,5,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,42,0,0,100,0,0,1,0.010277,0.010726,2.310762,2.275296,38.56853,0.626217,37.942313,0.918298,0.01491,0.903388,37.942313,0.903388,4127.886156,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.027,0,0.03,0,30,0,41759,246205,59053,100,50,?,3,?,?
