@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

is_switch_statements,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,66,18,0,78.571429,21.428571,0,0.530726,0.214643,0.445851,50.699954,97.475844,73.830752,745.333379,-671.502627,0.878938,8.873016,-7.994079,33.699169,0.401181,3769.805087,0.779661,46,0.2,5,0.8,20,0.220339,13,0.901961,0.779661,0.836364,0.54266,0.86678,0.922263,0.785714,0.206053,0.793947,0.214286,0.813895,0.785714,0.7927,0.54266,0.866275,0.862622,0.763009,0.785714,0.008,0.006,0.015625,0,15.625,0,62089,215927,83627,83.333333,55.357143,?,?
is_switch_statements,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,73,11,0,86.904762,13.095238,0,0.709068,0.128777,0.353426,30.176823,76.449382,74.981286,482.509823,-407.528537,0.892634,5.744165,-4.85153,50.73091,0.603939,5696.955196,0.862069,50,0.115385,3,0.884615,23,0.137931,8,0.943396,0.862069,0.900901,0.715351,0.937997,0.970365,0.869048,0.122363,0.877637,0.130952,0.881039,0.869048,0.871842,0.715351,0.937279,0.92845,0.853959,0.869048,0.006,0.006,0,0.015625,0,15.625,62089,215927,83627,89.285714,51.785714,?,?
is_switch_statements,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,66,18,0,78.571429,21.428571,0,0.537897,0.202978,0.425661,47.56489,92.074428,74.981286,529.063225,-454.081939,0.892634,6.298372,-5.405737,36.858711,0.438794,4139.141752,0.775862,45,0.192308,5,0.807692,21,0.224138,13,0.9,0.775862,0.833333,0.549614,0.876326,0.913592,0.785714,0.20216,0.79784,0.214286,0.812605,0.785714,0.792063,0.549614,0.876121,0.875316,0.766667,0.785714,0.008,0.004,0.015625,0,15.625,0,62089,215927,83627,85.714286,57.738095,?,?
is_switch_statements,3,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,71,13,0,84.52381,15.47619,0,0.6491,0.154493,0.379309,36.203107,82.048165,74.981286,368.109419,-293.128133,0.892634,4.382255,-3.489621,46.035638,0.548043,5169.687823,0.862069,50,0.192308,5,0.807692,21,0.137931,8,0.909091,0.862069,0.884956,0.651239,0.916446,0.950542,0.845238,0.175477,0.824523,0.154762,0.851844,0.845238,0.847405,0.651239,0.918088,0.919783,0.824296,0.845238,0.006,0.004,0,0,0,0,62089,215927,83627,88.095238,52.97619,?,?
is_switch_statements,3,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,66,18,0,78.571429,21.428571,0,0.546763,0.205847,0.430455,48.23703,93.111468,74.981286,522.476334,-447.495047,0.892634,6.219956,-5.327322,36.759427,0.437612,4127.992341,0.758621,44,0.153846,4,0.846154,22,0.241379,14,0.916667,0.758621,0.830189,0.564966,0.894562,0.952104,0.785714,0.18094,0.81906,0.214286,0.82209,0.785714,0.792888,0.564966,0.893536,0.891165,0.769933,0.785714,0.004,0.005,0,0.015625,0,15.625,62089,215927,83627,84.52381,55.952381,?,?
is_switch_statements,3,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,69,15,0,82.142857,17.857143,0,0.596154,0.168214,0.400006,39.733142,87.452707,73.830752,376.780295,-302.949543,0.878938,4.48548,-3.606542,42.016772,0.5002,4700.265561,0.830508,49,0.2,5,0.8,20,0.169492,10,0.907407,0.830508,0.867257,0.60163,0.913559,0.938628,0.821429,0.19092,0.80908,0.178571,0.835758,0.821429,0.825595,0.60163,0.912853,0.914134,0.797265,0.821429,0.005,0.004,0,0.015625,0,15.625,62089,215927,83627,86.904762,52.380952,?,?
is_switch_statements,4,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,68,16,0,80.952381,19.047619,0,0.554672,0.182435,0.412872,43.09239,90.265615,73.830752,579.161552,-505.3308,0.878938,6.89478,-6.015843,39.374279,0.468741,4404.659348,0.847458,50,0.28,7,0.72,18,0.152542,9,0.877193,0.847458,0.862069,0.555533,0.865763,0.909404,0.809524,0.242066,0.757934,0.190476,0.814536,0.809524,0.811545,0.555533,0.862736,0.875734,0.777188,0.809524,0.005,0.004,0.015625,0,15.625,0,62089,215927,83627,86.904762,54.166667,?,?
is_switch_statements,4,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,65,19,0,77.380952,22.619048,0,0.526128,0.231438,0.473605,54.233853,102.445088,74.981286,580.404319,-505.423033,0.892634,6.909575,-6.016941,31.452171,0.374431,3532.000652,0.741379,43,0.153846,4,0.846154,22,0.258621,15,0.914894,0.741379,0.819048,0.547121,0.883952,0.945856,0.77381,0.186276,0.813724,0.22619,0.815753,0.77381,0.781708,0.547121,0.883747,0.884291,0.75873,0.77381,0.005,0.004,0.015625,0,15.625,0,62089,215927,83627,79.761905,52.380952,?,?
is_switch_statements,4,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,76,8,0,90.47619,9.52381,0,0.78626,0.095535,0.303061,22.387215,65.554848,74.981286,115.136933,-40.155646,0.892634,1.370678,-0.478043,57.09868,0.679746,6412.039926,0.896552,52,0.076923,2,0.923077,24,0.103448,6,0.962963,0.896552,0.928571,0.790788,0.967507,0.985653,0.904762,0.085133,0.914867,0.095238,0.912522,0.904762,0.906463,0.790788,0.967507,0.970323,0.892857,0.904762,0.004,0.003,0.015625,0,15.625,0,62089,215927,83627,91.666667,51.190476,?,?
is_switch_statements,4,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,65,19,0,77.380952,22.619048,0,0.497481,0.236117,0.463377,55.330319,100.232848,74.981286,1186.384175,-1111.402889,0.892634,14.123621,-13.230987,31.435491,0.374232,3530.127611,0.793103,46,0.269231,7,0.730769,19,0.206897,12,0.867925,0.793103,0.828829,0.501889,0.850796,0.935006,0.77381,0.249937,0.750063,0.22619,0.788989,0.77381,0.778636,0.501889,0.849256,0.841254,0.747748,0.77381,0.004,0.003,0.015625,0,15.625,0,62089,215927,83627,79.761905,55.952381,?,?
