@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 7\nSize of the tree: 13\n'}
@attribute measureOutOfBagError numeric
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

feature-envy,9,7,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,40,2,0,95.238095,4.761905,0,0.888889,0.055815,0.158955,12.550015,33.719338,38.56853,4.632559,33.935971,0.918298,0.110299,0.807999,33.811753,0.805042,3678.507102,1,28,0.142857,2,0.857143,12,0,0,0.933333,1,0.965517,0.894427,0.994898,0.997619,0.952381,0.095238,0.904762,0.047619,0.955556,0.952381,0.95137,0.894427,0.994898,0.995238,0.944297,0.952381,0.31,0.001,0.109375,0,109.375,0,77833,328240,81952,100,57.142857,?,-1,?,?,?
feature-envy,9,8,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,40,2,0,95.238095,4.761905,0,0.888889,0.082609,0.20755,18.57482,44.027884,38.56853,7.829717,30.738813,0.918298,0.186422,0.731876,31.676932,0.754213,3446.251888,1,28,0.142857,2,0.857143,12,0,0,0.933333,1,0.965517,0.894427,0.994898,0.997619,0.952381,0.095238,0.904762,0.047619,0.955556,0.952381,0.95137,0.894427,0.994898,0.995238,0.944297,0.952381,0.379,0,0.140625,0,140.625,0,78561,328240,81952,100,60.714286,?,-1,?,?,?
feature-envy,9,9,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,39,3,0,92.857143,7.142857,0,0.836364,0.084682,0.238407,19.041017,50.573711,38.56853,9.616681,28.951849,0.918298,0.228969,0.68933,30.819691,0.733802,3352.989435,0.964286,27,0.142857,2,0.857143,12,0.035714,1,0.931034,0.964286,0.947368,0.837611,0.982143,0.99153,0.928571,0.107143,0.892857,0.071429,0.928382,0.928571,0.927875,0.837611,0.982143,0.983856,0.918129,0.928571,0.36,0.001,0.140625,0,140.625,0,79653,328240,81952,100,57.142857,?,-1,?,?,?
feature-envy,9,10,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,40,2,0,95.238095,4.761905,0,0.896552,0.055681,0.151981,12.520068,32.239908,38.56853,4.526443,34.042087,0.918298,0.107772,0.810526,33.835447,0.805606,3681.084841,0.928571,26,0,0,1,14,0.071429,2,1,0.928571,0.962963,0.901388,0.997449,0.998768,0.952381,0.02381,0.97619,0.047619,0.958333,0.952381,0.953086,0.901388,0.997449,0.997592,0.948148,0.952381,0.292,0,0.109375,0,109.375,0,77469,328240,81952,100,59.52381,?,-1,?,?,?
feature-envy,10,1,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,40,2,0,95.238095,4.761905,0,0.896552,0.116269,0.261921,26.143437,55.561704,38.56853,20.842049,17.726481,0.918298,0.496239,0.422059,28.891931,0.687903,3143.261223,0.928571,26,0,0,1,14,0.071429,2,1,0.928571,0.962963,0.901388,0.946429,0.97619,0.952381,0.02381,0.97619,0.047619,0.958333,0.952381,0.953086,0.901388,0.946429,0.920816,0.948148,0.952381,0.252,0,0.109375,0,109.375,0,73101,328240,81952,95.238095,65.47619,?,-1,?,?,?
feature-envy,10,2,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,40,2,0,95.238095,4.761905,0,0.892857,0.060825,0.220656,13.676656,46.808148,38.56853,19.776092,18.792438,0.918298,0.470859,0.447439,33.392437,0.795058,3632.888125,0.964286,27,0.071429,1,0.928571,13,0.035714,1,0.964286,0.964286,0.964286,0.892857,0.938776,0.951204,0.952381,0.059524,0.940476,0.047619,0.952381,0.952381,0.952381,0.892857,0.938776,0.922487,0.946429,0.952381,0.284,0,0.109375,0,109.375,0,78561,328240,81952,95.238095,55.952381,?,-1,?,?,?
feature-envy,10,3,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,41,1,0,97.619048,2.380952,0,0.945455,0.031675,0.110301,7.122127,23.398233,38.56853,2.597708,35.970822,0.918298,0.06185,0.856448,35.974437,0.856534,3913.79352,1,28,0.071429,1,0.928571,13,0,0,0.965517,1,0.982456,0.946864,1,1,0.97619,0.047619,0.952381,0.02381,0.977011,0.97619,0.975958,0.946864,1,1,0.97271,0.97619,0.35,0,0.125,0,125,0,75285,328240,81952,100,54.761905,?,-1,?,?,?
feature-envy,10,4,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,40,2,0,95.238095,4.761905,0,0.896552,0.059997,0.180963,13.490392,38.387933,38.56853,6.352659,32.215871,0.918298,0.151254,0.767045,33.479734,0.797137,3642.38549,0.928571,26,0,0,1,14,0.071429,2,1,0.928571,0.962963,0.901388,0.987245,0.994589,0.952381,0.02381,0.97619,0.047619,0.958333,0.952381,0.953086,0.901388,0.987245,0.987124,0.948148,0.952381,0.285,0,0.109375,0,109.375,0,79289,328240,81952,100,58.333333,?,-1,?,?,?
feature-envy,10,5,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,42,0,0,100,0,0,1,0.019879,0.066883,4.469874,14.188092,38.56853,1.385425,37.183105,0.918298,0.032986,0.885312,37.183105,0.885312,4045.289068,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.315,0.001,0.125,0,125,0,76741,328240,81952,100,53.571429,?,-1,?,?,?
feature-envy,10,6,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,42,0,0,100,0,0,1,0.037502,0.109052,8.432476,23.133425,38.56853,2.780053,35.788477,0.918298,0.066192,0.852107,35.645294,0.848697,3877.984841,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.297,0,0.125,0,125,0,83293,328240,81952,100,57.142857,?,-1,?,?,?
feature-envy,10,7,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,41,1,0,97.619048,2.380952,0,0.945455,0.049976,0.136551,11.237151,28.966764,38.56853,4.067912,34.500618,0.918298,0.096855,0.821443,34.661796,0.825281,3770.98638,1,28,0.071429,1,0.928571,13,0,0,0.965517,1,0.982456,0.946864,0.997449,0.998768,0.97619,0.047619,0.952381,0.02381,0.977011,0.97619,0.975958,0.946864,0.997449,0.997592,0.97271,0.97619,0.312,0,0.15625,0,156.25,0,79289,328240,81952,100,59.52381,?,-1,?,?,?
feature-envy,10,8,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,40,2,0,95.238095,4.761905,0,0.896552,0.062743,0.174989,14.107796,37.120737,38.56853,5.761296,32.807234,0.918298,0.137174,0.781125,33.278553,0.792347,3620.498263,0.928571,26,0,0,1,14,0.071429,2,1,0.928571,0.962963,0.901388,1,1,0.952381,0.02381,0.97619,0.047619,0.958333,0.952381,0.953086,0.901388,1,1,0.948148,0.952381,0.311,0.001,0.15625,0,156.25,0,80745,328240,81952,100,59.52381,?,-1,?,?,?
feature-envy,10,9,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,39,3,0,92.857143,7.142857,0,0.836364,0.09334,0.26225,20.987769,55.631579,38.56853,22.3128,16.25573,0.918298,0.531257,0.387041,30.420444,0.724296,3309.553861,0.964286,27,0.142857,2,0.857143,12,0.035714,1,0.931034,0.964286,0.947368,0.837611,0.920918,0.929033,0.928571,0.107143,0.892857,0.071429,0.928382,0.928571,0.927875,0.837611,0.920918,0.917127,0.918129,0.928571,0.267,0.001,0.140625,0,140.625,0,80745,328240,81952,95.238095,55.952381,?,-1,?,?,?
feature-envy,10,10,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,41,1,0,97.619048,2.380952,0,0.947368,0.050507,0.14051,11.356593,29.806574,38.56853,4.310238,34.258292,0.918298,0.102625,0.815674,34.635878,0.824664,3768.166666,0.964286,27,0,0,1,14,0.035714,1,1,0.964286,0.981818,0.948683,0.997449,0.998768,0.97619,0.011905,0.988095,0.02381,0.977778,0.97619,0.976385,0.948683,0.997449,0.997592,0.973668,0.97619,0.299,0,0.125,0,125,0,76741,328240,81952,100,60.714286,?,-1,?,?,?
feature-envy,1,1,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,29,13,0,69.047619,30.952381,0,0.093023,0.309524,0.556349,69.59707,118.019165,38.56853,13962,-13923.43147,0.918298,332.428571,-331.510273,10.384101,0.247241,1129.725234,1,28,0.928571,13,0.071429,1,0,0,0.682927,1,0.811594,0.220863,0.535714,0.682927,0.690476,0.619048,0.380952,0.309524,0.788618,0.690476,0.585507,0.220863,0.535714,0.582269,0.472464,0.690476,0.898,0.112,0.28125,0.015625,281.25,15.625,511376,328240,81952,69.047619,50,?,?,?,?,?
feature-envy,1,2,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,28,14,0,66.666667,33.333333,0,0,0.333333,0.57735,74.95069,122.474275,38.56853,15036,-14997.43147,0.918298,358,-357.081702,8.216068,0.195621,893.85682,1,28,1,14,0,0,0,0,0.666667,1,0.8,0,0.5,0.666667,0.666667,0.666667,0.333333,0.333333,0.444444,0.666667,0.533333,0,0.5,0.555556,0.4,0.666667,0.965,0.107,0.296875,0.03125,296.875,31.25,509486,328240,81952,66.666667,50,?,?,?,?,?
feature-envy,1,3,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,29,13,0,69.047619,30.952381,0,0.093023,0.309524,0.556349,69.59707,118.019165,38.56853,13962,-13923.43147,0.918298,332.428571,-331.510273,10.384101,0.247241,1129.725234,1,28,0.928571,13,0.071429,1,0,0,0.682927,1,0.811594,0.220863,0.535714,0.682927,0.690476,0.619048,0.380952,0.309524,0.788618,0.690476,0.585507,0.220863,0.535714,0.582269,0.472464,0.690476,0.937,0.017,0.28125,0.015625,281.25,15.625,513188,328240,81952,69.047619,50,?,?,?,?,?
feature-envy,1,4,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,27,15,0,64.285714,35.714286,0,-0.046512,0.357143,0.597614,80.304311,126.772919,38.56853,16110,-16071.43147,0.918298,383.571429,-382.65313,6.048036,0.144001,657.988405,0.964286,27,1,14,0,0,0.035714,1,0.658537,0.964286,0.782609,-0.110432,0.482143,0.658827,0.642857,0.678571,0.321429,0.357143,0.439024,0.642857,0.521739,-0.110432,0.482143,0.550329,0.391304,0.642857,0.58,0.148,0.1875,0.046875,187.5,46.875,516044,328240,81952,64.285714,50,?,?,?,?,?
feature-envy,1,5,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,29,13,0,69.047619,30.952381,0,0.093023,0.309524,0.556349,69.59707,118.019165,38.56853,13962,-13923.43147,0.918298,332.428571,-331.510273,10.384101,0.247241,1129.725234,1,28,0.928571,13,0.071429,1,0,0,0.682927,1,0.811594,0.220863,0.535714,0.682927,0.690476,0.619048,0.380952,0.309524,0.788618,0.690476,0.585507,0.220863,0.535714,0.582269,0.472464,0.690476,0.738,0.018,0.203125,0.03125,203.125,31.25,511974,328240,81952,69.047619,50,?,?,?,?,?
feature-envy,1,6,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,29,13,0,69.047619,30.952381,0,0.093023,0.309524,0.556349,69.59707,118.019165,38.56853,13962,-13923.43147,0.918298,332.428571,-331.510273,10.384101,0.247241,1129.725234,1,28,0.928571,13,0.071429,1,0,0,0.682927,1,0.811594,0.220863,0.535714,0.682927,0.690476,0.619048,0.380952,0.309524,0.788618,0.690476,0.585507,0.220863,0.535714,0.582269,0.472464,0.690476,0.673,0.074,0.171875,0.015625,171.875,15.625,517160,328240,81952,69.047619,50,?,?,?,?,?
feature-envy,1,7,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,29,13,0,69.047619,30.952381,0,0.133333,0.309524,0.556349,69.59707,118.019165,38.56853,13962,-13923.43147,0.918298,332.428571,-331.510273,10.384101,0.247241,1129.725234,0.964286,27,0.857143,12,0.142857,2,0.035714,1,0.692308,0.964286,0.80597,0.196116,0.553571,0.691392,0.690476,0.583333,0.416667,0.309524,0.683761,0.690476,0.615745,0.196116,0.553571,0.587912,0.520632,0.690476,1.039,0.053,0.265625,0.015625,265.625,15.625,524532,328240,81952,69.047619,50,?,?,?,?,?
feature-envy,1,8,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,27,15,0,64.285714,35.714286,0,-0.046512,0.357143,0.597614,80.304311,126.772919,38.56853,16110,-16071.43147,0.918298,383.571429,-382.65313,6.048036,0.144001,657.988405,0.964286,27,1,14,0,0,0.035714,1,0.658537,0.964286,0.782609,-0.110432,0.482143,0.658827,0.642857,0.678571,0.321429,0.357143,0.439024,0.642857,0.521739,-0.110432,0.482143,0.550329,0.391304,0.642857,0.476,0.033,0.15625,0.015625,156.25,15.625,518572,328240,81952,64.285714,50,?,?,?,?,?
feature-envy,1,9,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,29,13,0,69.047619,30.952381,0,0.093023,0.309524,0.556349,69.59707,118.019165,38.56853,13962,-13923.43147,0.918298,332.428571,-331.510273,10.384101,0.247241,1129.725234,1,28,0.928571,13,0.071429,1,0,0,0.682927,1,0.811594,0.220863,0.535714,0.682927,0.690476,0.619048,0.380952,0.309524,0.788618,0.690476,0.585507,0.220863,0.535714,0.582269,0.472464,0.690476,0.434,0.016,0.15625,0.015625,156.25,15.625,515122,328240,81952,69.047619,50,?,?,?,?,?
feature-envy,1,10,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,29,13,0,69.047619,30.952381,0,0.093023,0.309524,0.556349,69.59707,118.019165,38.56853,13962,-13923.43147,0.918298,332.428571,-331.510273,10.384101,0.247241,1129.725234,1,28,0.928571,13,0.071429,1,0,0,0.682927,1,0.811594,0.220863,0.535714,0.682927,0.690476,0.619048,0.380952,0.309524,0.788618,0.690476,0.585507,0.220863,0.535714,0.582269,0.472464,0.690476,0.246,0.012,0.109375,0.015625,109.375,15.625,515900,328240,81952,69.047619,50,?,?,?,?,?
feature-envy,2,1,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,26,16,0,61.904762,38.095238,0,-0.090909,0.380952,0.617213,85.657932,130.930507,38.56853,17184,-17145.43147,0.918298,409.142857,-408.224559,3.880003,0.092381,422.119991,0.928571,26,1,14,0,0,0.071429,2,0.65,0.928571,0.764706,-0.158114,0.464286,0.65119,0.619048,0.690476,0.309524,0.380952,0.433333,0.619048,0.509804,-0.158114,0.464286,0.545238,0.382353,0.619048,0.306,0.078,0.140625,0.015625,140.625,15.625,514636,328240,81952,61.904762,50,?,?,?,?,?
feature-envy,2,2,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,30,12,0,71.428571,28.571429,0,0.181818,0.285714,0.534522,64.243449,113.389146,38.56853,12888,-12849.43147,0.918298,306.857143,-305.938845,12.552134,0.29886,1365.593648,1,28,0.857143,12,0.142857,2,0,0,0.7,1,0.823529,0.316228,0.571429,0.7,0.714286,0.571429,0.428571,0.285714,0.8,0.714286,0.632353,0.316228,0.571429,0.609524,0.536765,0.714286,0.331,0.081,0.15625,0.015625,156.25,15.625,508582,328240,81952,71.428571,50,?,?,?,?,?
feature-envy,2,3,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,28,14,0,66.666667,33.333333,0,0,0.333333,0.57735,74.95069,122.474275,38.56853,15036,-14997.43147,0.918298,358,-357.081702,8.216068,0.195621,893.85682,1,28,1,14,0,0,0,0,0.666667,1,0.8,0,0.5,0.666667,0.666667,0.666667,0.333333,0.333333,0.444444,0.666667,0.533333,0,0.5,0.555556,0.4,0.666667,0.243,0.093,0.140625,0.015625,140.625,15.625,518064,328240,81952,66.666667,50,?,?,?,?,?
feature-envy,2,4,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,28,14,0,66.666667,33.333333,0,0,0.333333,0.57735,74.95069,122.474275,38.56853,15036,-14997.43147,0.918298,358,-357.081702,8.216068,0.195621,893.85682,1,28,1,14,0,0,0,0,0.666667,1,0.8,0,0.5,0.666667,0.666667,0.666667,0.333333,0.333333,0.444444,0.666667,0.533333,0,0.5,0.555556,0.4,0.666667,0.283,0.07,0.15625,0.015625,156.25,15.625,519296,328240,81952,66.666667,50,?,?,?,?,?
feature-envy,2,5,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,29,13,0,69.047619,30.952381,0,0.093023,0.309524,0.556349,69.59707,118.019165,38.56853,13962,-13923.43147,0.918298,332.428571,-331.510273,10.384101,0.247241,1129.725234,1,28,0.928571,13,0.071429,1,0,0,0.682927,1,0.811594,0.220863,0.535714,0.682927,0.690476,0.619048,0.380952,0.309524,0.788618,0.690476,0.585507,0.220863,0.535714,0.582269,0.472464,0.690476,0.316,0.028,0.1875,0.03125,187.5,31.25,512158,328240,81952,69.047619,50,?,?,?,?,?
feature-envy,2,6,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,29,13,0,69.047619,30.952381,0,0.093023,0.309524,0.556349,69.59707,118.019165,38.56853,13962,-13923.43147,0.918298,332.428571,-331.510273,10.384101,0.247241,1129.725234,1,28,0.928571,13,0.071429,1,0,0,0.682927,1,0.811594,0.220863,0.535714,0.682927,0.690476,0.619048,0.380952,0.309524,0.788618,0.690476,0.585507,0.220863,0.535714,0.582269,0.472464,0.690476,0.316,0.021,0.171875,0,171.875,0,520380,328240,81952,69.047619,50,?,?,?,?,?
feature-envy,2,7,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,29,13,0,69.047619,30.952381,0,0.093023,0.309524,0.556349,69.59707,118.019165,38.56853,13962,-13923.43147,0.918298,332.428571,-331.510273,10.384101,0.247241,1129.725234,1,28,0.928571,13,0.071429,1,0,0,0.682927,1,0.811594,0.220863,0.535714,0.682927,0.690476,0.619048,0.380952,0.309524,0.788618,0.690476,0.585507,0.220863,0.535714,0.582269,0.472464,0.690476,0.291,0.028,0.15625,0.03125,156.25,31.25,515010,328240,81952,69.047619,50,?,?,?,?,?
feature-envy,2,8,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,30,12,0,71.428571,28.571429,0,0.181818,0.285714,0.534522,64.243449,113.389146,38.56853,12888,-12849.43147,0.918298,306.857143,-305.938845,12.552134,0.29886,1365.593648,1,28,0.857143,12,0.142857,2,0,0,0.7,1,0.823529,0.316228,0.571429,0.7,0.714286,0.571429,0.428571,0.285714,0.8,0.714286,0.632353,0.316228,0.571429,0.609524,0.536765,0.714286,0.202,0.018,0.15625,0.015625,156.25,15.625,516674,328240,81952,71.428571,50,?,?,?,?,?
feature-envy,2,9,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,29,13,0,69.047619,30.952381,0,0.093023,0.309524,0.556349,69.59707,118.019165,38.56853,13962,-13923.43147,0.918298,332.428571,-331.510273,10.384101,0.247241,1129.725234,1,28,0.928571,13,0.071429,1,0,0,0.682927,1,0.811594,0.220863,0.535714,0.682927,0.690476,0.619048,0.380952,0.309524,0.788618,0.690476,0.585507,0.220863,0.535714,0.582269,0.472464,0.690476,0.178,0.019,0.125,0.015625,125,15.625,519782,328240,81952,69.047619,50,?,?,?,?,?
feature-envy,2,10,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,29,13,0,69.047619,30.952381,0,0.133333,0.309524,0.556349,69.59707,118.019165,38.56853,13962,-13923.43147,0.918298,332.428571,-331.510273,10.384101,0.247241,1129.725234,0.964286,27,0.857143,12,0.142857,2,0.035714,1,0.692308,0.964286,0.80597,0.196116,0.553571,0.691392,0.690476,0.583333,0.416667,0.309524,0.683761,0.690476,0.615745,0.196116,0.553571,0.587912,0.520632,0.690476,0.182,0.011,0.125,0.015625,125,15.625,515698,328240,81952,69.047619,50,?,?,?,?,?
feature-envy,3,1,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,29,13,0,69.047619,30.952381,0,0.093023,0.309524,0.556349,69.59707,118.019165,38.56853,13962,-13923.43147,0.918298,332.428571,-331.510273,10.384101,0.247241,1129.725234,1,28,0.928571,13,0.071429,1,0,0,0.682927,1,0.811594,0.220863,0.535714,0.682927,0.690476,0.619048,0.380952,0.309524,0.788618,0.690476,0.585507,0.220863,0.535714,0.582269,0.472464,0.690476,0.252,0.029,0.15625,0.015625,156.25,15.625,511894,328240,81952,69.047619,50,?,?,?,?,?
feature-envy,3,2,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1',14172,20170707.1553,378,42,29,13,0,69.047619,30.952381,0,0.093023,0.309524,0.556349,69.59707,118.019165,38.56853,13962,-13923.43147,0.918298,332.428571,-331.510273,10.384101,0.247241,1129.725234,1,28,0.928571,13,0.071429,1,0,0,0.682927,1,0.811594,0.220863,0.535714,0.682927,0.690476,0.619048,0.380952,0.309524,0.788618,0.690476,0.585507,0.220863,0.535714,0.582269,0.472464,0.690476,0.205,0.062,0.1875,0.015625,187.5,15.625,522224,328240,81952,69.047619,50,?,?,?,?,?
