@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 7\nSize of the tree: 13\n'}
@attribute measureOutOfBagError numeric
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

feature-envy,1,10,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,41,1,0,97.619048,2.380952,0,0.945455,0.026168,0.098458,5.884007,20.885965,38.56853,2.088785,36.479745,0.918298,0.049733,0.868565,36.479745,0.868565,3968.767935,1,28,0.071429,1,0.928571,13,0,0,0.965517,1,0.982456,0.946864,1,1,0.97619,0.047619,0.952381,0.02381,0.977011,0.97619,0.975958,0.946864,1,1,0.97271,0.97619,1.717,0,0.359375,0,359.375,0,77105,328240,81952,100,54.761905,?,-1,?,?,?
feature-envy,2,1,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,41,1,0,97.619048,2.380952,0,0.947368,0.050084,0.153428,11.2614,32.546943,38.56853,5.154067,33.414463,0.918298,0.122716,0.795582,34.663584,0.825323,3771.180944,0.964286,27,0,0,1,14,0.035714,1,1,0.964286,0.981818,0.948683,0.992347,0.995536,0.97619,0.011905,0.988095,0.02381,0.977778,0.97619,0.976385,0.948683,0.992347,0.990073,0.973668,0.97619,0.483,0,0.125,0,125,0,81837,328240,81952,100,60.714286,?,-1,?,?,?
feature-envy,2,2,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,40,2,0,95.238095,4.761905,0,0.888889,0.082944,0.237473,18.65016,50.375492,38.56853,19.867253,18.701277,0.918298,0.47303,0.445268,31.612858,0.752687,3439.281118,1,28,0.142857,2,0.857143,12,0,0,0.933333,1,0.965517,0.894427,0.923469,0.928829,0.952381,0.095238,0.904762,0.047619,0.955556,0.952381,0.95137,0.894427,0.923469,0.920807,0.944297,0.952381,0.58,0,0.140625,0,140.625,0,78197,328240,81952,95.238095,57.142857,?,-1,?,?,?
feature-envy,2,3,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,41,1,0,97.619048,2.380952,0,0.947368,0.045077,0.154585,10.135667,32.792318,38.56853,4.743651,33.824879,0.918298,0.112944,0.805354,34.909338,0.831175,3797.91747,0.964286,27,0,0,1,14,0.035714,1,1,0.964286,0.981818,0.948683,0.994898,0.997619,0.97619,0.011905,0.988095,0.02381,0.977778,0.97619,0.976385,0.948683,0.994898,0.995125,0.973668,0.97619,0.565,0.001,0.140625,0,140.625,0,75285,328240,81952,100,55.952381,?,-1,?,?,?
feature-envy,2,4,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,38,4,0,90.47619,9.52381,0,0.785714,0.069532,0.197399,15.634463,41.874518,38.56853,6.380366,32.188164,0.918298,0.151913,0.766385,32.070634,0.763587,3489.084218,0.928571,26,0.142857,2,0.857143,12,0.071429,2,0.928571,0.928571,0.928571,0.785714,0.989796,0.995156,0.904762,0.119048,0.880952,0.095238,0.904762,0.904762,0.904762,0.785714,0.989796,0.99062,0.892857,0.904762,0.56,0,0.125,0,125,0,79653,328240,81952,100,57.142857,?,-1,?,?,?
feature-envy,2,5,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,39,3,0,92.857143,7.142857,0,0.847458,0.092864,0.273293,20.880583,57.974069,38.56853,25.398986,13.169544,0.918298,0.604738,0.313561,30.627378,0.729223,3332.066974,0.892857,25,0,0,1,14,0.107143,3,1,0.892857,0.943396,0.857493,0.920918,0.963705,0.928571,0.035714,0.964286,0.071429,0.941176,0.928571,0.930006,0.857493,0.920918,0.906253,0.923311,0.928571,0.453,0,0.125,0,125,0,72373,328240,81952,92.857143,55.952381,?,-1,?,?,?
feature-envy,2,6,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,40,2,0,95.238095,4.761905,0,0.896552,0.037413,0.137751,8.412358,29.221405,38.56853,3.336045,35.232484,0.918298,0.07943,0.838869,35.144805,0.836781,3823.534743,0.928571,26,0,0,1,14,0.071429,2,1,0.928571,0.962963,0.901388,1,1,0.952381,0.02381,0.97619,0.047619,0.958333,0.952381,0.953086,0.901388,1,1,0.948148,0.952381,0.539,0,0.171875,0,171.875,0,79653,328240,81952,100,54.761905,?,-1,?,?,?
feature-envy,2,7,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,41,1,0,97.619048,2.380952,0,0.945455,0.035318,0.121998,7.941414,25.87969,38.56853,2.980818,35.587712,0.918298,0.070972,0.847326,35.666517,0.849203,3880.293754,1,28,0.071429,1,0.928571,13,0,0,0.965517,1,0.982456,0.946864,0.998724,0.998768,0.97619,0.047619,0.952381,0.02381,0.977011,0.97619,0.975958,0.946864,0.998724,0.997592,0.97271,0.97619,0.521,0.002,0.140625,0,140.625,0,76013,328240,81952,100,55.952381,?,-1,?,?,?
feature-envy,2,8,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,41,1,0,97.619048,2.380952,0,0.945455,0.058532,0.172264,13.160967,36.542548,38.56853,5.243647,33.324883,0.918298,0.124849,0.79345,33.541383,0.798604,3649.092523,1,28,0.071429,1,0.928571,13,0,0,0.965517,1,0.982456,0.946864,0.997449,0.998768,0.97619,0.047619,0.952381,0.02381,0.977011,0.97619,0.975958,0.946864,0.997449,0.997592,0.97271,0.97619,0.533,0,0.125,0,125,0,78925,328240,81952,100,55.952381,?,-1,?,?,?
feature-envy,2,9,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,40,2,0,95.238095,4.761905,0,0.896552,0.064277,0.168484,14.452741,35.740704,38.56853,5.394511,33.174019,0.918298,0.128441,0.789858,33.144986,0.789166,3605.967021,0.928571,26,0,0,1,14,0.071429,2,1,0.928571,0.962963,0.901388,0.994898,0.997493,0.952381,0.02381,0.97619,0.047619,0.958333,0.952381,0.953086,0.901388,0.994898,0.995352,0.948148,0.952381,0.475,0,0.140625,0,140.625,0,75285,328240,81952,100,59.52381,?,-1,?,?,?
